id,name,rarity,description,cost,tags,damage,damageType,attunement,stackable,weightEach,image,shape,container,containerRows,containerCols
airship,Airship,common,,40000gp,vehicle_(air),"Speed: 8 mphCarrying Capacity: 1 ton cargo, 20 passengersCrew 10, AC 13, HP 300",,,,,,,,,
alchemist_s_fire,Alchemist's Fire,common,,50gp,adventuring_gear,,,,,1,,,,,
alchemist_s_supplies,Alchemist's Supplies,common,"Ability: Intelligence Utilize: Identify a substance (DC 15), or start a fire (DC 15) Craft: Acid, Alchemist's Fire, Component Pouch, Oil, Paper, Perfume Artisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency. If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool.",50gp,artisan's_tools,,,,,8,,,,,
alchemy_jug,Alchemy Jug,uncommon,"This ceramic jug appears to be able to hold a gallon of liquid and weighs 12 pounds whether full or empty. The jug sloshes when it is shaken, even if the jug is empty. You can take a Magic action and name one liquid from the",,wondrous_item,,,,,12,,,,,
ale_mug,Ale (mug),common,,4cp,food_and_drink,,,,,,,,,,
amulet,Amulet,common,"For an Amulet to be an effective Holy Symbol, it must be worn or held. A Holy Symbol takes a specific form and is bejeweled or painted to channel divine magic. A Cleric or Paladin can use a Holy Symbol as a Spellcasting Focus.",5gp,spellcasting_focus,,,,,1,,,,,
amulet_of_health,Amulet of Health,rare,Your Constitution score is 19 while you wear this amulet. It has no effect on you if your Constitution is already 19 or higher without it.,,wondrous_item,,,true,,1,,,,,
amulet_of_proof_against_detection_and_location,Amulet of Proof against Detection and Location,uncommon,"While wearing this amulet, you can't be targeted by Divination spells or perceived through magical scrying sensors unless you allow it.",,wondrous_item,,,true,,1,,,,,
amulet_of_the_planes,Amulet of the Planes,very_rare,"While wearing this amulet, you can take a Magic action to name a location that you are familiar with on another plane of existence. Then make a DC 15 Intelligence (Arcana) check. On a successful check, you cast Plane Shift.",,wondrous_item,,,true,,1,,,,,
animated_shield,Animated Shield,very_rare,"While holding this Shield, you can take a Bonus Action to cause it to animate. The Shield leaps into the air and hovers in your space to protect you as if you were wielding it, leaving your hands free. The Shield remains animate for 1 minute, until you take a Bonus Action to end this effect, or until you die or have the Incapacitated condition, at which point the Shield falls to the ground or into your hand if you have one free.",,shield_(shield),AC +2,,true,,6,,,,,
antitoxin,Antitoxin,common,"As a Bonus Action, you can drink a vial of Antitoxin to gain Advantage on saving throws to avoid or end the Poisoned condition for 1 hour.",50gp,adventuring_gear,,,,,,,,,,
apparatus_of_kwalish,Apparatus of Kwalish,legendary,"This item first appears to be a sealed iron barrel weighing 500 pounds. The barrel has a hidden catch, which can be found with a successful DC 20 Intelligence (Investigation) check. Releasing the catch unlocks a hatch at one end of the barrel, allowing two Medium or smaller creatures to crawl inside.",,wondrous_item,,,,,500,,,,,
arcane_focus,Arcane Focus,common,"An Arcane Focus takes a specific form and is bejeweled or carved to channel arcane magic. A Sorcerer, Warlock, or Wizard can use such an item as a Spellcasting Focus.",,spellcasting_focus,,,,,,,,,,
armor_of_invulnerability,Armor of Invulnerability,legendary,"You have Resistance to Bludgeoning, Piercing, and Slashing damage while you wear this armor. Metal Shell. You can take a Magic action to give yourself Immunity to Bludgeoning, Piercing, and Slashing damage for 10 minutes or until you are no longer wearing the armor.",,heavy_armor_(plate_armor),AC 18,,true,,65,,,,,
arrow,Arrow,common,"Arrows are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon).",5cp,ammunition,,,,,,,,,,
arrow_catching_shield,Arrow-Catching Shield,rare,"You gain a +2 bonus to Armor Class against ranged attack rolls while you wield this Shield. This bonus is in addition to the Shield's normal bonus to AC. Whenever an attacker makes a ranged attack roll against a target within 5 feet of you, you can take a Reaction to become the target of the attack instead.",,shield_(shield),AC +2,,true,,6,,,,,
arrows_20,Arrows (20),common,"Arrows are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon).",1gp,ammunition,,,,,1,,,,,
artisan_s_tools,Artisan's Tools,common,"Artisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency. If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool.",,artisan's_tools,,,,,,,,,,
assassin_s_blood,Assassin's Blood,common,"A creature subjected to Assassin's Blood makes a DC 10 Constitution saving throw. On a failed save, the creature takes 6 (1d12) Poison damage and has the Poisoned condition for 24 hours. On a successful save, the creature takes half as much damage only.",150gp,adventuring_gear|poison_(ingested),,,,,,,,,,
axe_of_the_dwarvish_lords,Axe of the Dwarvish Lords,artifact,"A young dwarf prince set out to forge a weapon that would be regarded as a symbol of unity among his people. Venturing deep under the mountains, deeper than any dwarf had ever delved, the prince came to the blazing heart of a great volcano. With the aid of Moradin, a god of creation, he first crafted four mighty tools: the Starmetal Pick, the Earthheart Forge, the Anvil of Songs, and the Shaping Hammer.",,weapon_(battleaxe)|martial_weapon|melee_weapon,1d8,slashing,true,,4,,,,,
baba_yaga_s_dancing_broom,Baba Yaga's Dancing Broom,uncommon,"The archfey Baba Yaga crafted many of these magic brooms. No two appear exactly alike. While holding the broom, you can take a Magic action to transform it into an Animated Broom under your control.",,wondrous_item,,,true,,,,,,,
backpack,Backpack,common,A Backpack holds up to 30 pounds within 1 cubic foot. It can also serve as a saddlebag.,2gp,adventuring_gear,,,,,5,,,,,
bag_of_beans,Bag of Beans,rare,"This heavy cloth bag contains 3d4 dry beans when found. The bag weighs half a pound regardless of how many beans it contains and becomes a nonmagical item when it no longer contains any beans. If you dump one or more beans out of the bag, they explode in a 10-foot-radius Sphere centered on them.",,wondrous_item,,,,,,,,,,
bag_of_devouring,Bag of Devouring,very_rare,This bag resembles a Bag of Holding but is a feeding orifice for a gigantic extradimensional creature. Turning the bag inside out closes the orifice. The extradimensional creature attached to the bag can sense whatever is placed inside the bag.,,wondrous_item,,,,,,,,,,
bag_of_holding,Bag of Holding,uncommon,"This bag has an interior space considerably larger than its outside dimensions—roughly 2 feet square and 4 feet deep on the inside. The bag can hold up to 500 pounds, not exceeding a volume of 64 cubic feet. The bag weighs 5 pounds, regardless of its contents.",,wondrous_item,,,,,5,,,,,
bag_of_tricks,Bag of Tricks,uncommon,,,wondrous_item,,,,,,,,,,
bag_of_tricks_gray,"Bag of Tricks, Gray",uncommon,"This bag made from gray cloth appears empty. Reaching inside the bag, however, reveals the presence of a small, fuzzy object. You can take a Magic action to pull the fuzzy object from the bag and throw it up to 20 feet.",,wondrous_item,,,,,,,,,,
bag_of_tricks_rust,"Bag of Tricks, Rust",uncommon,"This bag made from rust cloth appears empty. Reaching inside the bag, however, reveals the presence of a small, fuzzy object. You can take a Magic action to pull the fuzzy object from the bag and throw it up to 20 feet.",,wondrous_item,,,,,,,,,,
bag_of_tricks_tan,"Bag of Tricks, Tan",uncommon,"This bag made from tan cloth appears empty. Reaching inside the bag, however, reveals the presence of a small, fuzzy object. You can take a Magic action to pull the fuzzy object from the bag and throw it up to 20 feet.",,wondrous_item,,,,,,,,,,
bagpipes,Bagpipes,common,"Ability: Charisma Utilize: Play a known tune (DC 10), or improvise a song (DC 15) If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too.",30gp,instrument,,,,,6,,,,,
ball_bearings,Ball Bearings,common,"As a Utilize action, you can spill Ball Bearings from their pouch. They spread to cover a level, 10-foot-square area within 10 feet of yourself. A creature that enters this area for the first time on a turn must succeed on a DC 10 Dexterity saving throw or have the Prone condition.",1gp,adventuring_gear,,,,,2,,,,,
barrel,Barrel,common,A Barrel holds up to 40 gallons of liquid or up to 4 cubic feet of dry goods.,2gp,adventuring_gear,,,,,70,,,,,
basic_poison,Basic Poison,common,"As a Bonus Action, you can use a vial of Basic Poison to coat one weapon or up to three pieces of ammunition. A creature that takes Piercing or Slashing damage from the poisoned weapon or ammunition takes an extra 1d4 Poison damage. Once applied, the poison retains potency for 1 minute or until its damage is dealt, whichever comes first.",100gp,adventuring_gear|poison,,,,,,,,,,
basket,Basket,common,A Basket holds up to 40 pounds within 2 cubic feet.,4sp,adventuring_gear,,,,,2,,,,,
battleaxe,Battleaxe,common,,10gp,weapon|martial_weapon|melee_weapon,1d8,slashing,,,4,,,,,
bead_of_force,Bead of Force,rare,"This small black sphere measures 3/4 of an inch in diameter and weighs an ounce. Typically, 1d4 + 4 Beads of Force are found together. You can take a Magic action to throw the bead up to 60 feet.",,wondrous_item,,,,,,,,,,
bead_of_nourishment,Bead of Nourishment,common,"This flavorless, gelatinous bead dissolves on your tongue and provides as much nourishment as 1 day of Rations.",,wondrous_item,,,,,,,,,,
bead_of_refreshment,Bead of Refreshment,common,"This flavorless, gelatinous bead dissolves in liquid, transforming up to a pint of the liquid into fresh, cold drinking water. The bead has no effect on magical liquids or harmful substances such as poison.",,wondrous_item,,,,,,,,,,
bedroll,Bedroll,common,"A Bedroll sleeps one Small or Medium creature. While in a Bedroll, you automatically succeed on saving throws against extreme cold (see the Dungeon Master's Guide).",1gp,adventuring_gear,,,,,7,,,,,
bell,Bell,common,"When rung as a Utilize action, a Bell produces a sound that can be heard up to 60 feet away.",1gp,adventuring_gear,,,,,,,,,,
belt_of_cloud_giant_strength,Belt of Cloud Giant Strength,legendary,"While wearing this belt, your Strength score changes to 27. The item has no effect on you if your Strength without the belt is equal to or greater than the belt's score.",,wondrous_item,,,true,,,,,,,
belt_of_dwarvenkind,Belt of Dwarvenkind,rare,"While wearing this belt, you gain the following benefits: Dwarvish. You know Dwarvish. Friend of Dwarvenkind.",,wondrous_item,,,true,,,,,,,
belt_of_fire_giant_strength,Belt of Fire Giant Strength,very_rare,"While wearing this belt, your Strength score changes to 25. The item has no effect on you if your Strength without the belt is equal to or greater than the belt's score.",,wondrous_item,,,true,,,,,,,
belt_of_frost_giant_strength,Belt of Frost Giant Strength,very_rare,"While wearing this belt, your Strength score changes to 23. The item has no effect on you if your Strength without the belt is equal to or greater than the belt's score.",,wondrous_item,,,true,,,,,,,
belt_of_giant_strength,Belt of Giant Strength,common,BeltStr.RarityBelt of Hill Giant Strength21RareBelt of Frost Giant Strength or Belt of Stone Giant Strength23Very RareBelt of Fire Giant Strength25Very RareBelt of Cloud Giant Strength27LegendaryBelt of Storm Giant Strength29Legendary,,wondrous_item,,,true,,,,,,,
belt_of_hill_giant_strength,Belt of Hill Giant Strength,rare,"While wearing this belt, your Strength score changes to 21. The item has no effect on you if your Strength without the belt is equal to or greater than the belt's score.",,wondrous_item,,,true,,,,,,,
belt_of_stone_giant_strength,Belt of Stone Giant Strength,very_rare,"While wearing this belt, your Strength score changes to 23. The item has no effect on you if your Strength without the belt is equal to or greater than the belt's score.",,wondrous_item,,,true,,,,,,,
belt_of_storm_giant_strength,Belt of Storm Giant Strength,legendary,"While wearing this belt, your Strength score changes to 29. The item has no effect on you if your Strength without the belt is equal to or greater than the belt's score.",,wondrous_item,,,true,,,,,,,
black_dragon_scale_mail,Black Dragon Scale Mail,very_rare,"Dragon Scale Mail is made of the scales of one kind of dragon. Sometimes dragons collect their cast-off scales and gift them. Other times, hunters carefully preserve the hide of a dead dragon.",,medium_armor_(scale_mail),AC 14 + Dex (max 2),,true,,45,,,,,
blackrazor,Blackrazor,artifact,"Hidden in the dungeon of White Plume Mountain, Blackrazor shines like a piece of night sky filled with stars. Its black scabbard is decorated with pieces of cut obsidian. You gain a +3 bonus to attack rolls and damage rolls made with this magic weapon.",,weapon_(greatsword)|martial_weapon|melee_weapon,2d6,slashing,true,,6,,,,,
blanket,Blanket,common,"While wrapped in a blanket, you have Advantage on saving throws against extreme cold (see the Dungeon Master's Guide).",5sp,adventuring_gear,,,,,3,,,,,
block_and_tackle,Block and Tackle,common,A Block and Tackle allows you to hoist up to four times the weight you can normally lift.,1gp,adventuring_gear,,,,,5,,,,,
blowgun,Blowgun,common,,10gp,weapon|martial_weapon|ranged_weapon,1,piercing,,,1,,,,,
blue_dragon_scale_mail,Blue Dragon Scale Mail,very_rare,"Dragon Scale Mail is made of the scales of one kind of dragon. Sometimes dragons collect their cast-off scales and gift them. Other times, hunters carefully preserve the hide of a dead dragon.",,medium_armor_(scale_mail),AC 14 + Dex (max 2),,true,,45,,,,,
bolt,Bolt,common,"Crossbow bolts are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon).",5cp,ammunition,,,,,,,,,,
bolts_20,Bolts (20),common,"Crossbow bolts are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon).",1gp,ammunition,,,,,,,,,,
bomb,Bomb,common,"As an action, you can light a Bomb and throw it at a point up to 60 feet away, where it explodes. Each creature in a 5-foot-radius Sphere centered on that point makes a DC 12 Dexterity saving throw, taking 3d6 Fire damage on a failed save or half as much damage on a successful one.",100gp,explosive,,,,,1,,,,,
book,Book,common,"A Book contains fiction or nonfiction. If you consult an accurate nonfiction Book about its topic, you gain a +5 bonus to Intelligence (Arcana, History, Nature, or Religion) checks you make about that topic.",25gp,adventuring_gear,,,,,5,,,,,
book_of_exalted_deeds,Book of Exalted Deeds,artifact,"The definitive treatise on all that is good in the multiverse, the Book of Exalted Deeds figures prominently in many religions. Rather than being a scripture devoted to a particular faith, the book's authors filled the pages with their own visions of true virtue, providing guidance for defeating evil. The Book of Exalted Deeds rarely lingers in one place.",,wondrous_item,,,true,,5,,,,,
book_of_vile_darkness,Book of Vile Darkness,artifact,The contents of this foul manuscript are the meat and drink of the wicked. It contains knowledge so horrid that to even glimpse the scrawled pages invites doom. Most believe the lich-god Vecna authored the Book of Vile Darkness.,,wondrous_item,,,true,,5,,,,,
boots_of_elvenkind,Boots of Elvenkind,uncommon,"While you wear these boots, your steps make no sound, regardless of the surface you are moving across. You also have Advantage on Dexterity (Stealth) checks.",,wondrous_item,,,,,,,,,,
boots_of_false_tracks,Boots of False Tracks,common,"While wearing these boots, you can have them leave tracks like those of any kind of Humanoid of your size.",,wondrous_item,,,,,,,,,,
boots_of_levitation,Boots of Levitation,rare,"While you wear these boots, you can cast Levitate on yourself.",,wondrous_item,,,true,,,,,,,
boots_of_speed,Boots of Speed,rare,"While you wear these boots, you can take a Bonus Action to click the boots' heels together. If you do, the boots double your Speed, and any creature that makes an Opportunity Attack against you has Disadvantage on the attack roll. If you click your heels together again, you end the effect.",,wondrous_item,,,true,,,,,,,
boots_of_striding_and_springing,Boots of Striding and Springing,uncommon,"While you wear these boots, your Speed becomes 30 feet unless your Speed is higher, and your Speed isn't reduced by you carrying weight in excess of your carrying capacity or wearing Heavy Armor. Once on each of your turns, you can jump up to 30 feet by spending only 10 feet of movement.",,wondrous_item,,,true,,,,,,,
boots_of_the_winterlands,Boots of the Winterlands,uncommon,"These furred boots are snug and feel warm. While wearing them, you gain the following benefits. Cold Resistance.",,wondrous_item,,,true,,,,,,,
bowl_of_commanding_water_elementals,Bowl of Commanding Water Elementals,rare,"While this bowl is filled with water and you are within 5 feet of it, you can take a Magic action to summon a Water Elemental. The elemental appears in an unoccupied space as close to the bowl as possible, understands your languages, obeys your commands, and takes its turn immediately after you on your Initiative count. The elemental disappears after 1 hour, when it dies, or when you dismiss it as a Bonus Action.",,wondrous_item,,,,,,,,,,
bracers_of_archery,Bracers of Archery,uncommon,"While wearing these bracers, you have proficiency with the Longbow and Shortbow, and you gain a +2 bonus to damage rolls made with such weapons.",,wondrous_item,,,true,,,,,,,
bracers_of_defense,Bracers of Defense,rare,"While wearing these bracers, you gain a +2 bonus to Armor Class if you are wearing no armor and using no Shield.",,wondrous_item,,,true,,,,,,,
brass_dragon_scale_mail,Brass Dragon Scale Mail,very_rare,"Dragon Scale Mail is made of the scales of one kind of dragon. Sometimes dragons collect their cast-off scales and gift them. Other times, hunters carefully preserve the hide of a dead dragon.",,medium_armor_(scale_mail),AC 14 + Dex (max 2),,true,,45,,,,,
brazier_of_commanding_fire_elementals,Brazier of Commanding Fire Elementals,rare,"While you are within 5 feet of this brazier, you can take a Magic action to summon a Fire Elemental. The elemental appears in an unoccupied space as close to the brazier as possible, understands your languages, obeys your commands, and takes its turn immediately after you on your Initiative count. The elemental disappears after 1 hour, when it dies, or when you dismiss it as a Bonus Action.",,wondrous_item,,,,,,,,,,
bread_loaf,Bread (loaf),common,,2cp,food_and_drink,,,,,,,,,,
breastplate,Breastplate,common,,400gp,medium_armor,AC 14 + Dex (max 2),,,,20,,,,,
brewer_s_supplies,Brewer's Supplies,common,"Ability: Intelligence Utilize: Detect poisoned drink (DC 15), or identify alcohol (DC 10) Craft: Antitoxin Artisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency. If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool.",20gp,artisan's_tools,,,,,9,,,,,
bronze_dragon_scale_mail,Bronze Dragon Scale Mail,very_rare,"Dragon Scale Mail is made of the scales of one kind of dragon. Sometimes dragons collect their cast-off scales and gift them. Other times, hunters carefully preserve the hide of a dead dragon.",,medium_armor_(scale_mail),AC 14 + Dex (max 2),,true,,45,,,,,
brooch_of_shielding,Brooch of Shielding,uncommon,"While wearing this brooch, you have Resistance to Force damage, and you have Immunity to damage from the Magic Missile spell.",,wondrous_item,,,true,,,,,,,
broom_of_flying,Broom of Flying,uncommon,"This wooden broom functions like a mundane broom until you stand astride it and take a Magic action to make it hover beneath you, at which time it can be ridden in the air. It has a Fly Speed of 50 feet. It can carry up to 400 pounds, but its Fly Speed becomes 30 feet while carrying over 200 pounds.",,wondrous_item,,,true,,,,,,,
bucket,Bucket,common,A Bucket holds up to half a cubic foot of contents.,5cp,adventuring_gear,,,,,2,,,,,
bullseye_lantern,Bullseye Lantern,common,A Bullseye Lantern burns Oil as fuel to cast Bright Light in a 60-foot Cone and Dim Light for an additional 60 feet.,10gp,adventuring_gear,,,,,2,,,,,
burglar_s_pack,Burglar's Pack,common,"A Burglar's Pack contains the following items: Backpack, Ball Bearings, Bell, 10 Candles, Crowbar, Hooded Lantern, 7 flasks of Oil, 5 days of Rations, Rope, Tinderbox, and Waterskin.",16gp,adventuring_gear,,,,,,,,,,
burnt_othur_fumes,Burnt Othur Fumes,common,"A creature subjected to Burnt Othur Fumes must succeed on a DC 13 Constitution saving throw or take 10 (3d6) Poison damage, and it must repeat the save at the start of each of its turns. On each successive failed save, the creature takes 3 (1d6) Poison damage. After three successful saves, the poison ends.",500gp,adventuring_gear|poison_(inhaled),,,,,,,,,,
calligrapher_s_supplies,Calligrapher's Supplies,common,"Ability: Dexterity Utilize: Write text with impressive flourishes that guard against forgery (DC 15) Craft: Ink, Spell Scroll Artisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency. If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool.",10gp,artisan's_tools,,,,,5,,,,,
caltrops,Caltrops,common,"As a Utilize action, you can spread Caltrops from their bag to cover a 5-foot-square area within 5 feet of yourself. A creature that enters this area for the first time on a turn must succeed on a DC 15 Dexterity saving throw or take 1 Piercing damage and have its Speed reduced to 0 until the start of its next turn. It takes 10 minutes to recover the Caltrops.",1gp,adventuring_gear,,,,,2,,,,,
camel,Camel,common,,50gp,mount,"Speed: 50, Carrying Capacity: 450 lb.",,,,,,,,,
candle,Candle,common,"For 1 hour, a lit Candle sheds Bright Light in a 5-foot radius and Dim Light for an additional 5 feet.",1cp,adventuring_gear,,,,,,,,,,
candle_of_invocation,Candle of Invocation,very_rare,"This candle's magic is activated when the candle is lit, which requires a Magic action. After burning for 4 hours, the candle is destroyed. You can snuff it out early for use at a later time.",,wondrous_item,,,true,,,,,,,
candle_of_the_deep,Candle of the Deep,common,The flame of this candle isn't extinguished when immersed in water. It gives off light and heat like a normal candle.,,wondrous_item,,,,,,,,,,
canvas_1_sq_yd,Canvas (1 sq. yd.),common,Merchants commonly exchange trade goods without using currency.,1sp,trade_good,,,,,,,,,,
cap_of_water_breathing,Cap of Water Breathing,uncommon,"While wearing this cap underwater, you can take a Magic action to create a bubble of air around your head. This bubble allows you to breathe normally underwater. This bubble stays with you until the cap is removed or you are no longer underwater.",,wondrous_item,,,,,,,,,,
cape_of_the_mountebank,Cape of the Mountebank,rare,"This cape smells faintly of brimstone. While wearing it, you can use it to cast Dimension Door as a Magic action. This property can't be used again until the next dawn.",,wondrous_item,,,,,,,,,,
carpenter_s_tools,Carpenter's Tools,common,"Ability: Strength Utilize: Seal or pry open a door or container (DC 20) Craft: Club, Greatclub, Quarterstaff, Barrel, Chest, Ladder, Pole, Portable Ram, Torch Artisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency. If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool.",8gp,artisan's_tools,,,,,6,,,,,
carpet_of_flying,Carpet of Flying,very_rare,You can make this carpet hover and fly by taking a Magic action and using the carpet's command word. It moves according to your directions if you are within 30 feet of it. Four sizes of Carpet of Flying exist.,,wondrous_item,,,,,,,,,,
carpet_of_flying_3_ft_5_ft,"Carpet of Flying, 3 ft. × 5 ft.",very_rare,You can make this carpet hover and fly by taking a Magic action and using the carpet's command word. It moves according to your directions if you are within 30 feet of it. A 3 ft. × 5 ft. carpet can carry up to 200 lb. at a fly speed of 80 feet.,,wondrous_item,,,,,,,,,,
carpet_of_flying_4_ft_6_ft,"Carpet of Flying, 4 ft. × 6 ft.",very_rare,You can make this carpet hover and fly by taking a Magic action and using the carpet's command word. It moves according to your directions if you are within 30 feet of it. A 4 ft. × 6 ft. carpet can carry up to 400 lb. at a fly speed of 60 feet.,,wondrous_item,,,,,,,,,,
carpet_of_flying_5_ft_7_ft,"Carpet of Flying, 5 ft. × 7 ft.",very_rare,You can make this carpet hover and fly by taking a Magic action and using the carpet's command word. It moves according to your directions if you are within 30 feet of it. A 5 ft. × 7 ft. carpet can carry up to 600 lb. at a fly speed of 40 feet.,,wondrous_item,,,,,,,,,,
carpet_of_flying_6_ft_9_ft,"Carpet of Flying, 6 ft. × 9 ft.",very_rare,You can make this carpet hover and fly by taking a Magic action and using the carpet's command word. It moves according to your directions if you are within 30 feet of it. A 6 ft. × 9 ft. carpet can carry up to 800 lb. at a fly speed of 30 feet.,,wondrous_item,,,,,,,,,,
carriage,Carriage,common,,100gp,vehicle_(land),,,,,600,,,,,
carrion_crawler_mucus,Carrion Crawler Mucus,common,"A creature subjected to Carrion Crawler Mucus must succeed on a DC 13 Constitution saving throw or have the Poisoned condition for 1 minute. The creature also has the Paralyzed condition while Poisoned in this way. The creature repeats the save at the end of each of its turns, ending the effect on itself on a success.",200gp,adventuring_gear|poison_(contact),,,,,,,,,,
cart,Cart,common,,15gp,vehicle_(land),,,,,200,,,,,
cartographer_s_tools,Cartographer's Tools,common,"Ability: Wisdom Utilize: Draft a map of a small area (DC 15) Craft: Map Artisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency. If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool.",15gp,artisan's_tools,,,,,6,,,,,
cauldron_of_rebirth,Cauldron of Rebirth,very_rare,"This Tiny pot bears relief scenes of heroes on its cast-iron sides. You can use the cauldron as a Spellcasting Focus for your spells, and it functions as a suitable component for the Scrying spell. Brew Potion.",,wondrous_item,,,true,,,,,,,
censer_of_controlling_air_elementals,Censer of Controlling Air Elementals,rare,"While gently swinging this censer, you can take a Magic action to summon an Air Elemental. The elemental appears in an unoccupied space as close to the censer as possible, understands your languages, obeys your commands, and takes its turn immediately after you on your Initiative count. The elemental disappears after 1 hour, when it dies, or when you dismiss it as a Bonus Action.",,wondrous_item,,,,,,,,,,
chain,Chain,common,"As a Utilize action, you can wrap a Chain around an unwilling creature within 5 feet of yourself that has the Grappled, Incapacitated, or Restrained condition if you succeed on a DC 13 Strength (Athletics) check. If the creature's legs are bound, the creature has the Restrained condition until it escapes. Escaping the Chain requires the creature to make a successful DC 18 Dexterity (Acrobatics) check as an action.",5gp,adventuring_gear,,,,,10,,,,,
chain_mail,Chain Mail,common,"The wearer has Disadvantage on Dexterity (Stealth) checks. If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet.",75gp,heavy_armor,AC 16,,,,55,,,,,
chain_shirt,Chain Shirt,common,,50gp,medium_armor,AC 13 + Dex (max 2),,,,20,,,,,
chariot,Chariot,common,,250gp,vehicle_(land),,,,,100,,,,,
charlatan_s_die,Charlatan's Die,common,"Whenever you roll this six-sided die, you can control which number it rolls.",,wondrous_item,,,true,,,,,,,
cheese_wedge,Cheese (wedge),common,,1sp,food_and_drink,,,,,,,,,,
chest,Chest,common,A Chest holds up to 12 cubic feet of contents.,5gp,adventuring_gear,,,,,25,,,,,
chicken,Chicken,common,Merchants commonly exchange trade goods without using currency.,2cp,trade_good,,,,,,,,,,
chime_of_opening,Chime of Opening,rare,"This hollow metal tube measures about 1 foot long and weighs 1 pound. As a Magic action, you can strike the chime to cast Knock. The spell's customary knocking sound is replaced by the clear, ringing tone of the chime, which is audible out to 300 feet.",,wondrous_item,,,,,1,,,,,
